datetime,value,lag_1h,lag_2h,lag_3h,lag_24h,lag_168h,roll_mean_24h,roll_std_24h,hour_sin,hour_cos,day_sin,day_cos,month_sin,month_cos
2018-01-10 13:00:00,50.0,70.0,50.0,46.0,29.0,86.0,37.25,16.46405835118742,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-10 14:00:00,38.0,50.0,70.0,50.0,21.0,50.0,37.958333333333336,16.09612204624257,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-10 15:00:00,44.0,38.0,50.0,70.0,17.0,43.0,39.083333333333336,15.500116876604695,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-10 16:00:00,37.0,44.0,38.0,50.0,17.0,45.0,39.916666666666664,14.782235715669774,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-10 17:00:00,22.0,37.0,44.0,38.0,24.0,30.0,39.833333333333336,14.881171841031833,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-10 19:00:00,29.0,34.0,22.0,37.0,25.0,17.0,40.5,14.288943734352031,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-10 20:00:00,43.0,29.0,34.0,22.0,23.0,27.0,41.333333333333336,13.798760708898797,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-10 22:00:00,26.0,30.0,43.0,29.0,29.0,17.0,41.375,13.761358944522884,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-22 03:00:00,72.0,71.0,60.0,46.0,52.0,22.0,45.333333333333336,12.709690471607004,0.7071067811865476,0.7071067811865476,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 04:00:00,86.0,72.0,71.0,60.0,66.0,17.0,46.166666666666664,14.633691521151857,0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 05:00:00,69.0,86.0,72.0,71.0,51.0,13.0,46.916666666666664,15.3365623569148,0.9659258262890683,0.25881904510252074,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 06:00:00,87.0,69.0,86.0,72.0,39.0,21.0,48.916666666666664,17.26750319723921,1.0,6.123233995736766e-17,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 07:00:00,82.0,87.0,69.0,86.0,43.0,32.0,50.541666666666664,18.479081396956992,0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 08:00:00,106.0,82.0,87.0,69.0,30.0,33.0,53.708333333333336,21.127931577739044,0.8660254037844387,-0.4999999999999998,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 09:00:00,81.0,106.0,82.0,87.0,38.0,27.0,55.5,21.55680060152509,0.7071067811865476,-0.7071067811865475,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 10:00:00,58.0,81.0,106.0,82.0,26.0,27.0,56.833333333333336,20.62220556387798,0.49999999999999994,-0.8660254037844387,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 11:00:00,79.0,58.0,81.0,106.0,34.0,28.0,58.708333333333336,20.501281331465194,0.258819045102521,-0.9659258262890682,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 12:00:00,57.0,79.0,58.0,81.0,39.0,34.0,59.458333333333336,20.07373184400267,1.2246467991473532e-16,-1.0,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 13:00:00,64.0,57.0,79.0,58.0,48.0,45.0,60.125,19.941899303378456,-0.2588190451025208,-0.9659258262890683,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 14:00:00,47.0,64.0,57.0,79.0,41.0,36.0,60.375,19.728180021393786,-0.4999999999999997,-0.8660254037844388,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 15:00:00,51.0,47.0,64.0,57.0,39.0,28.0,60.875,19.310534408204088,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 17:00:00,38.0,51.0,51.0,47.0,53.0,23.0,60.25,19.81271001808861,-0.9659258262890683,-0.25881904510252063,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 18:00:00,46.0,38.0,51.0,51.0,49.0,28.0,60.125,19.89606144113866,-1.0,-1.8369701987210297e-16,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 19:00:00,44.0,46.0,38.0,51.0,52.0,7.0,59.791666666666664,20.10403196996251,-0.9659258262890684,0.2588190451025203,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 20:00:00,45.0,44.0,46.0,38.0,31.0,25.0,60.375,19.4239039196105,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 22:00:00,35.0,42.0,45.0,44.0,41.0,30.0,60.166666666666664,19.679313055054536,-0.5000000000000004,0.8660254037844384,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-22 23:00:00,36.0,35.0,42.0,45.0,27.0,22.0,60.541666666666664,19.096958935383128,-0.25881904510252157,0.9659258262890681,0.0,1.0,0.49999999999999994,0.8660254037844387
2018-01-23 00:00:00,16.0,36.0,35.0,42.0,46.0,19.0,59.291666666666664,20.979242674329434,0.0,1.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2018-01-23 01:00:00,25.0,16.0,36.0,35.0,60.0,21.0,57.833333333333336,22.113672077554707,0.25881904510252074,0.9659258262890683,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2018-01-23 02:00:00,22.0,25.0,16.0,36.0,71.0,17.0,55.791666666666664,23.085811879700636,0.49999999999999994,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2018-01-23 03:00:00,31.0,22.0,25.0,16.0,72.0,20.0,54.083333333333336,23.349735435921666,0.7071067811865476,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2018-01-23 04:00:00,29.0,31.0,22.0,25.0,86.0,17.0,51.708333333333336,22.85584154551354,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387
2018-01-24 07:00:00,91.0,51.0,48.0,36.0,39.0,45.0,45.333333333333336,19.842130554140006,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-24 08:00:00,72.0,91.0,51.0,48.0,57.0,48.0,45.958333333333336,20.45244572739124,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-24 09:00:00,70.0,72.0,91.0,51.0,48.0,48.0,46.875,21.032712616303208,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387
2018-01-25 23:00:00,37.0,31.0,18.0,25.0,9.0,25.0,43.375,22.696125890441806,-0.25881904510252157,0.9659258262890681,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387
2018-01-26 00:00:00,33.0,37.0,31.0,18.0,26.0,45.0,43.666666666666664,22.507325699534537,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 01:00:00,39.0,33.0,37.0,31.0,29.0,53.0,44.083333333333336,22.315751244876086,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 02:00:00,9.0,39.0,33.0,37.0,33.0,37.0,43.083333333333336,23.347873316552782,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 03:00:00,27.0,9.0,39.0,33.0,31.0,62.0,42.916666666666664,23.45192430533556,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 08:00:00,64.0,47.0,43.0,22.0,75.0,51.0,40.416666666666664,21.989951591908813,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 09:00:00,105.0,64.0,47.0,43.0,59.0,39.0,42.333333333333336,25.417670448223475,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 10:00:00,100.0,105.0,64.0,47.0,78.0,51.0,43.25,27.10085832107778,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 11:00:00,95.0,100.0,105.0,64.0,94.0,42.0,43.291666666666664,27.182921695138997,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 12:00:00,96.0,95.0,100.0,105.0,87.0,57.0,43.666666666666664,27.865619562880507,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 13:00:00,139.0,96.0,95.0,100.0,56.0,26.0,47.125,33.94921078675436,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 15:00:00,73.0,68.0,139.0,96.0,29.0,56.0,50.5,34.10469813357991,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 16:00:00,82.0,73.0,68.0,139.0,26.0,58.0,52.833333333333336,34.270873254458934,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 19:00:00,18.0,32.0,32.0,82.0,34.0,61.0,52.833333333333336,34.306377486290856,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 20:00:00,43.0,18.0,32.0,32.0,25.0,63.0,53.583333333333336,33.8653557317885,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 21:00:00,32.0,43.0,18.0,32.0,18.0,66.0,54.166666666666664,33.342317629815966,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
2018-01-26 22:00:00,38.0,32.0,43.0,18.0,31.0,69.0,54.458333333333336,33.16097649827039,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387
