Date,Shift,temperature_2m,relative_humidity_2m,wind_speed_10m,wind_direction_10m,surface_pressure,precipitation,cloud_cover,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,AQI_Class,pm2_5_lag_1,pm2_5_lag_2,pm2_5_lag_3,pm2_5_lag_6,temperature_2m_lag_1,temperature_2m_lag_2,temperature_2m_lag_3,temperature_2m_lag_6,AQI_Class_lag_1,AQI_Class_lag_2,AQI_Class_lag_3,AQI_Class_lag_6
2018-01-03,Afternoon,31.683333333333334,53.833333333333336,7.6499999999999995,174.66666666666666,1005.7833333333333,0.0,27.333333333333332,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,24.2,24.5,30.266666666666666,29.0,1.0,1.0,1.0,1.0
2018-01-03,Morning,26.383333333333336,73.0,5.483333333333333,138.66666666666666,1008.5833333333334,0.0,45.666666666666664,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,31.683333333333334,24.2,24.5,24.7,1.0,1.0,1.0,1.0
2018-01-03,Night,24.849999999999998,84.41666666666667,7.7250000000000005,269.3333333333333,1007.85,0.0,88.75,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,26.383333333333336,31.683333333333334,24.2,23.90833333333333,1.0,1.0,1.0,1.0
2018-01-04,Afternoon,32.333333333333336,47.666666666666664,4.016666666666667,120.66666666666667,1006.0333333333333,0.0,94.16666666666667,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,24.849999999999998,26.383333333333336,31.683333333333334,30.266666666666666,1.0,1.0,1.0,1.0
2018-01-04,Morning,27.316666666666666,72.83333333333333,5.416666666666667,178.66666666666666,1008.85,0.0,59.666666666666664,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,32.333333333333336,24.849999999999998,26.383333333333336,24.5,1.0,1.0,1.0,1.0
2018-01-04,Night,26.058333333333334,82.16666666666667,9.6,215.5,1007.5500000000001,0.008333333333333333,94.16666666666667,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,27.316666666666666,32.333333333333336,24.849999999999998,24.2,1.0,1.0,1.0,1.0
2018-01-05,Afternoon,30.433333333333334,58.5,15.566666666666668,136.83333333333334,1007.0500000000001,0.13333333333333333,83.66666666666667,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,26.058333333333334,27.316666666666666,32.333333333333336,31.683333333333334,1.0,1.0,1.0,1.0
2018-01-05,Morning,26.566666666666666,80.5,6.516666666666667,140.16666666666666,1008.9166666666666,0.016666666666666666,76.66666666666667,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,30.433333333333334,26.058333333333334,27.316666666666666,26.383333333333336,1.0,1.0,1.0,1.0
2018-01-05,Night,25.791666666666668,85.0,8.216666666666667,173.58333333333334,1007.9833333333332,0.008333333333333333,29.583333333333332,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,26.566666666666666,30.433333333333334,26.058333333333334,24.849999999999998,1.0,1.0,1.0,1.0
2018-01-06,Afternoon,31.083333333333332,56.5,20.316666666666666,140.0,1006.9499999999999,0.06666666666666667,94.33333333333333,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,25.791666666666668,26.566666666666666,30.433333333333334,32.333333333333336,1.0,1.0,1.0,1.0
2018-01-06,Morning,27.849999999999998,71.5,13.483333333333334,118.5,1009.2333333333332,0.0,62.5,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,31.083333333333332,25.791666666666668,26.566666666666666,27.316666666666666,1.0,1.0,1.0,1.0
2018-01-06,Night,25.5,86.25,11.616666666666667,137.5,1008.5833333333334,0.0,68.41666666666667,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,27.849999999999998,31.083333333333332,25.791666666666668,26.058333333333334,1.0,1.0,1.0,1.0
2018-01-07,Afternoon,31.133333333333336,58.333333333333336,14.4,142.33333333333334,1008.1333333333333,0.03333333333333333,67.16666666666667,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,25.5,27.849999999999998,31.083333333333332,30.433333333333334,1.0,1.0,1.0,1.0
2018-01-07,Morning,27.383333333333336,76.0,9.85,112.5,1011.1666666666666,0.0,70.83333333333333,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,31.133333333333336,25.5,27.849999999999998,26.566666666666666,1.0,1.0,1.0,1.0
2018-01-07,Night,25.616666666666664,85.5,10.658333333333333,134.25,1009.75,0.041666666666666664,48.166666666666664,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,27.383333333333336,31.133333333333336,25.5,25.791666666666668,1.0,1.0,1.0,1.0
2018-01-08,Afternoon,31.683333333333334,55.0,13.833333333333334,133.66666666666666,1008.7166666666667,0.08333333333333333,31.666666666666668,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,25.616666666666664,27.383333333333336,31.133333333333336,31.083333333333332,1.0,1.0,1.0,1.0
2018-01-08,Morning,27.599999999999998,74.33333333333333,9.9,106.33333333333333,1010.9833333333332,0.03333333333333333,40.5,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,31.683333333333334,25.616666666666664,27.383333333333336,27.849999999999998,1.0,1.0,1.0,1.0
2018-01-08,Night,25.724999999999998,85.83333333333333,9.833333333333334,129.5,1010.3666666666667,0.05000000000000001,51.416666666666664,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,27.599999999999998,31.683333333333334,25.616666666666664,25.5,1.0,1.0,1.0,1.0
2018-01-09,Afternoon,31.21666666666667,58.166666666666664,11.233333333333334,133.0,1009.1,0.08333333333333333,26.833333333333332,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,25.724999999999998,27.599999999999998,31.683333333333334,31.133333333333336,1.0,1.0,1.0,1.0
2018-01-09,Morning,27.53333333333333,76.5,7.633333333333333,103.5,1011.9333333333334,0.08333333333333333,61.833333333333336,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,31.21666666666667,25.724999999999998,27.599999999999998,27.383333333333336,1.0,1.0,1.0,1.0
2018-01-09,Night,25.866666666666664,84.16666666666667,6.483333333333333,172.5,1010.6833333333334,0.016666666666666666,40.916666666666664,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,27.53333333333333,31.21666666666667,25.724999999999998,25.616666666666664,1.0,1.0,1.0,1.0
2018-01-10,Afternoon,31.150000000000002,53.833333333333336,8.733333333333333,155.5,1009.85,0.03333333333333333,37.833333333333336,28.1,40.5,634.0,39.0,19.1,10.0,1,28.1,28.1,28.1,28.1,25.866666666666664,27.53333333333333,31.21666666666667,31.683333333333334,1.0,1.0,1.0,1.0
