iter	Passed	Remaining
259	2125	1961
260	2131	1952
261	2139	1943
262	2145	1933
263	2154	1925
264	2160	1916
265	2167	1906
266	2175	1898
267	2182	1889
268	2190	1880
269	2196	1871
270	2205	1863
271	2212	1854
272	2221	1847
273	2227	1837
274	2234	1828
275	2241	1818
276	2247	1809
277	2255	1801
278	2262	1792
279	2270	1784
280	2278	1775
281	2285	1766
282	2292	1757
283	2299	1748
284	2306	1739
285	2313	1731
286	2322	1723
287	2328	1714
288	2336	1705
289	2343	1696
290	2350	1688
291	2357	1679
292	2365	1670
293	2372	1662
294	2378	1653
295	2387	1645
296	2394	1636
297	2402	1628
298	2409	1619
299	2417	1611
300	2424	1602
301	2431	1594
302	2437	1585
303	2444	1575
304	2452	1568
305	2459	1559
306	2468	1552
307	2475	1543
308	2483	1534
309	2490	1526
310	2497	1517
311	2504	1508
312	2511	1500
313	2518	1492
314	2525	1483
315	2533	1475
316	2540	1466
317	2548	1458
318	2555	1449
319	2562	1441
320	2569	1432
321	2576	1424
322	2583	1415
323	2590	1407
324	2598	1399
325	2604	1390
326	2612	1382
327	2633	1380
328	2639	1371
329	2647	1363
330	2653	1354
331	2660	1346
332	2667	1337
333	2674	1329
334	2682	1321
335	2688	1312
336	2696	1304
337	2702	1295
338	2710	1287
339	2717	1278
340	2724	1270
341	2732	1262
342	2739	1253
343	2747	1245
344	2753	1237
345	2762	1229
346	2768	1220
347	2776	1212
348	2783	1204
349	2790	1195
350	2797	1187
351	2804	1179
352	2812	1171
353	2819	1162
354	2827	1154
355	2833	1146
356	2840	1137
357	2848	1129
358	2855	1121
359	2863	1113
360	2870	1105
361	2878	1097
362	2885	1089
363	2893	1080
364	2899	1072
365	2907	1064
366	2913	1055
367	2920	1047
368	2928	1039
369	2934	1030
370	2942	1022
371	2948	1014
372	2956	1006
373	2963	998
374	2971	990
375	2978	982
376	2985	973
377	2992	965
378	2999	957
379	3006	949
380	3012	940
381	3020	933
382	3027	924
383	3033	916
384	3041	908
385	3047	900
386	3056	892
387	3062	884
388	3070	876
389	3078	868
390	3085	860
391	3092	852
392	3098	843
393	3106	835
394	3113	827
395	3121	819
396	3127	811
397	3134	803
398	3141	795
399	3148	787
400	3155	779
401	3162	770
402	3170	763
403	3177	755
404	3184	747
405	3191	738
406	3197	730
407	3205	722
408	3212	714
409	3220	706
410	3227	698
411	3235	691
412	3242	683
413	3251	675
414	3259	667
415	3268	660
416	3277	652
417	3287	644
418	3296	637
419	3307	629
420	3316	622
421	3328	615
422	3339	607
423	3348	600
424	3357	592
425	3368	585
426	3376	577
427	3386	569
428	3394	561
429	3404	554
430	3415	546
431	3423	538
432	3433	531
433	3441	523
434	3451	515
435	3460	507
436	3469	500
437	3477	492
438	3485	484
439	3492	476
440	3499	468
441	3506	460
442	3514	452
443	3521	444
444	3531	436
445	3538	428
446	3548	420
447	3555	412
448	3562	404
449	3570	396
450	3578	388
451	3585	380
452	3591	372
453	3599	364
454	3606	356
455	3614	348
456	3621	340
457	3628	332
458	3635	324
459	3642	316
460	3650	308
461	3656	300
462	3663	292
463	3670	284
464	3678	276
465	3685	268
466	3693	260
467	3700	253
468	3707	245
469	3715	237
470	3723	229
471	3731	221
472	3738	213
473	3746	205
474	3753	197
475	3761	189
476	3768	181
477	3776	173
478	3783	165
479	3790	157
480	3798	150
481	3804	142
482	3813	134
483	3820	126
484	3828	118
485	3835	110
486	3842	102
487	3849	94
488	3856	86
489	3863	78
490	3870	70
491	3878	63
492	3885	55
493	3893	47
494	3899	39
495	3906	31
496	3913	23
497	3920	15
498	3927	7
499	3934	0
