iter	RMSE
0	0.03733060557
1	0.03625722698
2	0.03520156579
3	0.03421695315
4	0.03329016216
5	0.03241824113
6	0.03159760341
7	0.03082443605
8	0.03012578895
9	0.02946785516
10	0.02883105463
11	0.02823469823
12	0.02769293541
13	0.02719587321
14	0.02670737857
15	0.02627583508
16	0.02585923819
17	0.02549076513
18	0.02514390674
19	0.02480635396
20	0.02450319991
21	0.02421429041
22	0.02396281056
23	0.02370797356
24	0.02347313722
25	0.02325003098
26	0.02304919777
27	0.02286467085
28	0.02267196754
29	0.02250521166
30	0.02236078794
31	0.02223102119
32	0.02209817941
33	0.02196112977
34	0.02183301713
35	0.02171962854
36	0.02161136397
37	0.02150907052
38	0.02142106279
39	0.02134408015
40	0.02125950791
41	0.02116371283
42	0.0210726675
43	0.02098098902
44	0.02090669062
45	0.02082613344
46	0.0207578738
47	0.02069077452
48	0.02063117929
49	0.02057292084
50	0.02051785831
51	0.02046060489
52	0.02039368629
53	0.02034040734
54	0.02029235668
55	0.02024560084
56	0.0201888643
57	0.02013302075
58	0.02009679075
59	0.0200533765
60	0.02002318644
61	0.01998713295
62	0.01995423081
63	0.01991052308
64	0.01988120899
65	0.01984953201
66	0.01980868769
67	0.01977147848
68	0.01974419731
69	0.01970905547
70	0.01967537942
71	0.01963726516
72	0.01960009153
73	0.01957853774
74	0.01954167762
75	0.01952420004
76	0.01950020766
77	0.01948180228
78	0.01946295696
79	0.01944279052
80	0.01942394765
81	0.01940234682
82	0.01937690246
83	0.01935238546
84	0.01932324133
85	0.01930243078
86	0.0192785351
87	0.01925087914
88	0.0192339213
89	0.01921484889
90	0.01920087662
91	0.01918351512
92	0.01916289786
93	0.01914274304
94	0.01913484808
95	0.01911327257
96	0.01909605032
97	0.01908885024
98	0.01907704812
99	0.01905530379
100	0.01904172089
101	0.01902129421
102	0.01899528095
103	0.01898317765
104	0.01897005804
105	0.01895561603
106	0.01893882742
107	0.01892085754
108	0.01890333284
109	0.01888565734
110	0.01887475418
111	0.01885687355
112	0.01884702786
113	0.01882836967
114	0.01880729686
115	0.01879725679
116	0.01878529697
117	0.01877456646
118	0.01876588212
119	0.01875132501
120	0.018737843
121	0.01871680447
122	0.01870574862
123	0.01869592875
124	0.01867878951
125	0.01866518835
126	0.01864728276
127	0.01862390875
128	0.01861109954
129	0.0185928875
130	0.01858147772
131	0.01856208963
132	0.01854490305
133	0.01853665615
134	0.0185191535
135	0.01851163303
136	0.01849660958
137	0.01848295103
138	0.01847101021
139	0.01846338316
140	0.01845035807
141	0.01844195036
142	0.01843378705
143	0.01842812582
144	0.01841374771
145	0.01840066141
146	0.01839006567
147	0.01837183037
148	0.01835898886
149	0.01834059547
150	0.01832788468
151	0.01831524599
152	0.01829918301
153	0.01828047072
154	0.01826978836
155	0.01825745241
156	0.01824292917
157	0.01823030878
158	0.01821874648
159	0.01820855607
160	0.01820070325
161	0.01818797942
162	0.01817533048
163	0.01816659739
164	0.01815880015
165	0.01814380438
166	0.01813797179
167	0.01812988132
168	0.01812098758
169	0.01811580369
170	0.01810856977
171	0.0180969869
172	0.01808449061
173	0.01807873235
174	0.01807047037
175	0.01806074196
176	0.01805164516
177	0.01804601996
178	0.01803617414
179	0.01802143184
180	0.01800747352
181	0.01800101656
182	0.01799152928
183	0.01798517014
184	0.01797826535
185	0.01796954536
186	0.01796218019
187	0.01795498491
188	0.0179446705
189	0.01793690781
190	0.01792727175
191	0.01791871783
192	0.01790993763
193	0.01789923194
194	0.01788741414
195	0.01787054842
196	0.01786210069
197	0.0178523157
198	0.0178390504
199	0.01783102849
200	0.01782316649
201	0.01781123532
202	0.01780152574
203	0.01779181559
204	0.01778859144
205	0.01777566286
206	0.01776223872
207	0.01775031218
208	0.0177386902
209	0.01772979005
210	0.01772235613
211	0.01771409652
212	0.01770284335
213	0.0176897601
214	0.01768122089
215	0.01766939301
216	0.01765941948
217	0.01764698854
218	0.01762887139
219	0.01762089141
220	0.01761126799
221	0.01760467125
222	0.01759533178
223	0.01758658617
224	0.0175781234
225	0.01756906521
226	0.01756514978
227	0.0175559032
228	0.01754799182
229	0.01753717667
230	0.01753142452
231	0.01752121208
232	0.01751186517
233	0.01749884463
234	0.01748610105
235	0.01748195833
236	0.01747903198
237	0.01747691053
238	0.01747347891
239	0.01747197158
240	0.01746235028
241	0.01746015303
242	0.01745311701
243	0.01744387673
244	0.01744295524
245	0.01743910233
246	0.01743687529
247	0.01742797385
248	0.01742513744
249	0.01741617886
250	0.01741159908
251	0.0174053201
252	0.01740188195
253	0.01739745897
254	0.0173832935
255	0.01738007349
256	0.01737537851
257	0.01737083295
258	0.01736717914
259	0.0173593133
260	0.01735354376
261	0.01734311297
262	0.0173401743
263	0.01733004042
264	0.01732785838
265	0.01732382871
266	0.0173150798
267	0.01730644256
268	0.01729233769
269	0.01728259163
270	0.01727688603
271	0.01727246613
272	0.01726386041
273	0.01726055718
274	0.01725043721
275	0.01724774703
276	0.0172408274
277	0.01723612826
278	0.01723251152
279	0.01722823128
280	0.01721854048
281	0.01721441057
282	0.01720379021
283	0.0171963285
284	0.01718960811
285	0.0171869789
286	0.01718148839
287	0.01717876787
288	0.01716749644
289	0.01715568705
290	0.0171519084
291	0.01714541554
292	0.01713552773
293	0.01712590439
294	0.01711838055
295	0.01711325205
296	0.01710643505
297	0.01709909732
298	0.01709181748
299	0.01708934681
300	0.01708088322
301	0.01708043223
302	0.0170760408
303	0.01707549698
304	0.01706795509
305	0.01705786695
306	0.01704952718
307	0.01704289289
308	0.01703326679
309	0.01702155292
310	0.0170151457
311	0.01700972905
312	0.01700421361
313	0.01699331841
314	0.01698435232
315	0.01697526791
316	0.01697461706
317	0.01696489344
318	0.01695558116
319	0.016950517
320	0.01694684333
321	0.01694362152
